symbol,delta_minute,open,high,low,close,volume,trade_count
AAPL,5.0,201.225,201.33,201.175,201.3,200437.0,3295.0
AAPL,5.0,201.29,201.4,201.19,201.265,247470.0,4106.0
AAPL,5.0,201.27,201.34,201.21,201.26,206730.0,3690.0
AAPL,5.0,201.2554,201.31,201.14,201.28,311304.0,4261.0
AAPL,5.0,201.2835,201.45,201.27,201.285,253270.0,3945.0
AAPL,5.0,201.285,201.435,201.22,201.3908,287865.0,4167.0
AAPL,5.0,201.3888,201.78,201.34,201.7,323338.0,5048.0
AAPL,5.0,201.71,201.75,201.59,201.66,263503.0,4681.0
AAPL,5.0,201.65,201.65,201.43,201.44,782112.0,4919.0
AAPL,5.0,201.45,201.59,201.42,201.49,267726.0,4828.0
AAPL,5.0,201.49,201.6669,201.48,201.5,411065.0,5351.0
AAPL,5.0,201.51,201.635,201.47,201.59,220459.0,4972.0
AAPL,5.0,201.6,201.79,201.3,201.455,759901.0,13035.0
AAPL,5.0,201.46,201.82,201.3,201.79,1531771.0,20394.0
AAPL,5.0,201.8,202.48,201.53,202.15,5324158.0,1272.0
AAPL,5.0,202.28,202.38,201.7,202.0122,1096852.0,425.0
AAPL,5.0,202.06,202.12,201.9149,201.9149,131557.0,204.0
AAPL,5.0,202.03,202.2,201.7,202.105,10773.0,194.0
AAPL,5.0,202.105,202.1473,201.7,202.04,7103.0,138.0
AAPL,5.0,202.09,202.1,201.95,202.09,6630.0,127.0
AAPL,5.0,202.1,202.1,201.91,201.99,3555.0,115.0
AAPL,5.0,201.99,202.0,201.86,201.86,8571.0,121.0
AAPL,5.0,201.98,202.0,201.8642,201.96,3717.0,88.0
AAPL,5.0,202.0,202.1,201.99,202.0,3699.0,114.0
AAPL,5.0,202.002,202.002,201.942,202.0,2514.0,60.0
AAPL,5.0,201.94,201.9788,201.94,201.941,1694.0,36.0
AAPL,5.0,201.94,201.94,201.91,201.9103,2734.0,32.0
AAPL,5.0,201.92,201.92,201.9,201.9,681.0,23.0
AAPL,5.0,201.9,201.99,201.9,201.99,1276.0,54.0
AAPL,5.0,201.99,202.1,201.95,201.95,5368.0,155.0
AAPL,5.0,201.9072,202.0,201.9,201.9967,1826.0,24.0
AAPL,5.0,201.91,201.94,201.9,201.94,1121.0,34.0
AAPL,5.0,201.93,201.95,201.91,201.95,897.0,35.0
AAPL,5.0,201.94,201.95,201.9301,201.94,1066.0,37.0
AAPL,5.0,201.95,201.99,201.9,201.9,3033.0,55.0
AAPL,5.0,201.9695,201.9695,201.9695,201.9695,1390.0,28.0
AAPL,5.0,201.9,201.92,201.88,201.88,1215.0,48.0
AAPL,5.0,201.9412,201.9412,201.9412,201.9412,331.0,13.0
AAPL,5.0,201.9,201.93,201.8,201.81,1098.0,52.0
AAPL,5.0,201.8025,201.88,201.8,201.8201,2702.0,31.0
AAPL,5.0,201.877,201.877,201.76,201.76,2374.0,46.0
